date,uniqueID,max,min,humidity,steps
11/3/2020,katherinewroble,81,43,64,10492
11/4/2020,katherinewroble,82,48,68,19947
11/5/2020,katherinewroble,82.9,57,86,10809
11/6/2020,katherinewroble,80.1,64,86,17438
11/7/2020,katherinewroble,72,59,80,8456
11/8/2020,katherinewroble,73,64,86,11469
11/9/2020,katherinewroble,85,61,83,20972
11/10/2020,katherinewroble,82,65,86,9802
11/11/2020,katherinewroble,81,64,41,9916
11/12/2020,katherinewroble,84,58,58,14797
11/13/2020,katherinewroble,84,58,86,10923
11/14/2020,katherinewroble,84,71,80,13697
11/15/2020,katherinewroble,73,60,63,23833
11/16/2020,katherinewroble,76,35,57,10645
10/20/2020,raspberrypi,91,75.2,43,7003
10/21/2020,raspberrypi,91,73.4,45,7146
10/22/2020,raspberrypi,91,73,78,1136
10/23/2020,raspberrypi,84.9,57,82,2457
10/24/2020,raspberrypi,66.9,53.1,0,6218
10/25/2020,raspberrypi,86,55,70,4065
10/26/2020,raspberrypi,82,45,90,5221
10/27/2020,raspberrypi,46,39.9,89,358
10/28/2020,raspberrypi,61,39,90,5579
10/29/2020,raspberrypi,64,39.9,81,7995
10/30/2020,raspberrypi,73,45,62,1143
10/31/2020,raspberrypi,79,41,78,6532
11/1/2020,raspberrypi,79,50,73,2292
11/2/2020,raspberrypi,78.1,46.9,0,4782
11/3/2020,raspberrypi,81,43,64,5543
11/4/2020,raspberrypi,82,48,68,3275
11/5/2020,raspberrypi,82.9,57,86,4006
11/6/2020,raspberrypi,80.1,64,86,6650
11/7/2020,raspberrypi,72,59,80,6488
11/8/2020,raspberrypi,73,64,86,4543
11/9/2020,raspberrypi,85,61,83,3759
11/10/2020,raspberrypi,82,65,86,10402
11/11/2020,raspberrypi,81,64,41,11251
11/12/2020,raspberrypi,84,58,58,11080
11/13/2020,raspberrypi,84,58,86,2641
11/14/2020,raspberrypi,84,71,80,7482
11/15/2020,raspberrypi,73,60,63,4494
11/16/2020,raspberrypi,76,35,57,6479
10/20/2020,A1CE,91,75.2,43,2866
10/21/2020,A1CE,91,73.4,45,5773
10/22/2020,A1CE,91,73,78,5860
10/23/2020,A1CE,84.9,57,82,3030
10/24/2020,A1CE,66.9,53.1,0,1738
10/25/2020,A1CE,86,55,70,4781
10/26/2020,A1CE,82,45,90,938
10/27/2020,A1CE,46,39.9,89,2045
10/28/2020,A1CE,61,39,90,1258
10/29/2020,A1CE,64,39.9,81,929
10/30/2020,A1CE,73,45,62,2071
10/31/2020,A1CE,79,41,78,5006
11/1/2020,A1CE,79,50,73,1838
11/2/2020,A1CE,78.1,46.9,0,206
11/3/2020,A1CE,81,43,64,5417
11/4/2020,A1CE,82,48,68,2952
11/5/2020,A1CE,82.9,57,86,5513
11/6/2020,A1CE,80.1,64,86,3044
11/7/2020,A1CE,72,59,80,2152
11/8/2020,A1CE,73,64,86,1294
11/9/2020,A1CE,85,61,83,3964
11/10/2020,A1CE,82,65,86,2320
11/11/2020,A1CE,81,64,41,766
11/12/2020,A1CE,84,58,58,4261
11/13/2020,A1CE,84,58,86,3491
11/14/2020,A1CE,84,71,80,8739
11/15/2020,A1CE,73,60,63,1166
11/16/2020,A1CE,76,35,57,933
10/20/2020,Howyoung,91,75.2,43,4336
10/21/2020,Howyoung,91,73.4,45,762
10/22/2020,Howyoung,91,73,78,3040
10/23/2020,Howyoung,84.9,57,82,1578
10/24/2020,Howyoung,66.9,53.1,0,2219
10/25/2020,Howyoung,86,55,70,101
10/26/2020,Howyoung,82,45,90,1119
10/27/2020,Howyoung,46,39.9,89,3090
10/28/2020,Howyoung,61,39,90,471
10/29/2020,Howyoung,64,39.9,81,2777
10/30/2020,Howyoung,73,45,62,1458
10/31/2020,Howyoung,79,41,78,3017
11/1/2020,Howyoung,79,50,73,2551
11/2/2020,Howyoung,78.1,46.9,0,82
11/3/2020,Howyoung,81,43,64,3750
11/4/2020,Howyoung,82,48,68,296
11/5/2020,Howyoung,82.9,57,86,2883
11/6/2020,Howyoung,80.1,64,86,1723
11/7/2020,Howyoung,72,59,80,756
11/8/2020,Howyoung,73,64,86,1655
11/9/2020,Howyoung,85,61,83,3518
11/10/2020,Howyoung,82,65,86,1023
11/11/2020,Howyoung,81,64,41,2407
